"order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","_sdc_extracted_at","_sdc_received_at","_sdc_batched_at","_sdc_deleted_at","_sdc_sequence","_sdc_table_version","_sdc_sync_started_at","order_id-2","product_id","unit_price","quantity","discount","_sdc_extracted_at-2","_sdc_received_at-2","_sdc_batched_at-2","_sdc_deleted_at-2","_sdc_sequence-2","_sdc_table_version-2","_sdc_sync_started_at-2"
"10273","QUICK","3","1996-08-05","1996-09-02","1996-08-12","3","76.07","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany","2025-01-28 21:00:21.984487","2025-01-28 21:00:22.885877","2025-01-28 21:00:22.880445",NULL,"1738098022886",NULL,"1738098022345","10273","33","2","20","0","2025-01-28 21:00:22.081407","2025-01-28 21:00:23.127633","2025-01-28 21:00:23.115917",NULL,"1738098023128",NULL,"1738098022345"
"10325","KOENE","1","1996-10-09","1996-10-23","1996-10-14","3","64.86","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany","2025-01-28 21:00:21.98995","2025-01-28 21:00:22.897086","2025-01-28 21:00:22.880445",NULL,"1738098022897",NULL,"1738098022345","10325","31","10","4","0","2025-01-28 21:00:22.090844","2025-01-28 21:00:23.146692","2025-01-28 21:00:23.115917",NULL,"1738098023147",NULL,"1738098022345"
"10263","ERNSH","9","1996-07-23","1996-08-20","1996-07-31","3","146.06","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria","2025-01-28 21:00:21.98341","2025-01-28 21:00:22.883906","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10263","74","8","36","0.25","2025-01-28 21:00:22.079605","2025-01-28 21:00:23.124002","2025-01-28 21:00:23.115917",NULL,"1738098023124",NULL,"1738098022345"
"10264","FOLKO","6","1996-07-24","1996-08-21","1996-08-23","3","3.67","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden","2025-01-28 21:00:21.983515","2025-01-28 21:00:22.884111","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10264","2","15.2","35","0","2025-01-28 21:00:22.079686","2025-01-28 21:00:23.124116","2025-01-28 21:00:23.115917",NULL,"1738098023124",NULL,"1738098022345"
"10415","HUNGC","3","1997-01-15","1997-02-12","1997-01-24","1","0.2","Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","2025-01-28 21:00:21.998073","2025-01-28 21:00:22.916851","2025-01-28 21:00:22.880445",NULL,"1738098022917",NULL,"1738098022345","10415","33","2","20","0","2025-01-28 21:00:22.114791","2025-01-28 21:00:23.177558","2025-01-28 21:00:23.115917",NULL,"1738098023178",NULL,"1738098022345"
"10264","FOLKO","6","1996-07-24","1996-08-21","1996-08-23","3","3.67","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden","2025-01-28 21:00:21.983515","2025-01-28 21:00:22.884111","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10264","41","7.7","25","0.15","2025-01-28 21:00:22.079771","2025-01-28 21:00:23.124249","2025-01-28 21:00:23.115917",NULL,"1738098023124",NULL,"1738098022345"
"10265","BLONP","2","1996-07-25","1996-08-22","1996-08-12","1","55.28","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France","2025-01-28 21:00:21.983591","2025-01-28 21:00:22.884286","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10265","17","31.2","30","0","2025-01-28 21:00:22.079855","2025-01-28 21:00:23.124372","2025-01-28 21:00:23.115917",NULL,"1738098023124",NULL,"1738098022345"
"10926","ANATR","4","1998-03-04","1998-04-01","1998-03-11","3","39.92","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico","2025-01-28 21:00:22.058318","2025-01-28 21:00:23.021157","2025-01-28 21:00:22.880445",NULL,"1738098023021",NULL,"1738098022345","10926","11","21","2","0","2025-01-28 21:00:22.24777","2025-01-28 21:00:23.355379","2025-01-28 21:00:23.115917",NULL,"1738098023355",NULL,"1738098022345"
"10265","BLONP","2","1996-07-25","1996-08-22","1996-08-12","1","55.28","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France","2025-01-28 21:00:21.983591","2025-01-28 21:00:22.884286","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10265","70","12","20","0","2025-01-28 21:00:22.079939","2025-01-28 21:00:23.12456","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
"10266","WARTH","3","1996-07-26","1996-09-06","1996-07-31","3","25.73","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland","2025-01-28 21:00:21.983703","2025-01-28 21:00:22.884453","2025-01-28 21:00:22.880445",NULL,"1738098022884",NULL,"1738098022345","10266","12","30.4","12","0.05","2025-01-28 21:00:22.080038","2025-01-28 21:00:23.124684","2025-01-28 21:00:23.115917",NULL,"1738098023125",NULL,"1738098022345"
